index,Nom de la colonne,Type de la colonne,Nombre de valeurs uniques,Exemples de valeurs
0,ID,int64,3528480,76627138 | 76627139 | 76627140 | 76627141 | 76627142
1,Country,object,1,FR
2,VFN,object,3084,IP-03_BU_0214-1C4-1 | IP-E4JLESSSPOSAH-1C4-1 | IP-E4JLESSRUB-1C4-1 | IP-E4JLPHEVSAH-1C4-1 | IP-e4JLPHEVSAH-1C4-1
3,Mp,object,14,STELLANTIS | TESLA-HONDA-JLR | FORD | MAZDA-SUBARU-SUZUKI-TOYOTA | RENAULT-NISSAN-MITSUBISHI
4,Mh,object,81,CHRYSLER | HONDA MOTOR CO | FORD MOTOR COMPANY | GENERAL MOTORS HOLDINGS | MAZDA
5,Man,object,80,FCA US LLC | HONDA MOTOR CO LTD | FORD MOTOR COMPANY | GENERAL MOTORS HOLDINGS LLC | MAZDA MOTOR CORPORATION
6,MMS,float64,0,
7,Tan,object,3636,e3*2007/46*0300*33 | e3*2007/46*0300*32 | e4*2001/116*0116*38 | e4*2001/116*0116*40 | e4*2001/116*0116*41
8,T,object,448,BU | JK | RV | LAE | WAH
9,Va,object,2156,AXT23 | JSLFZ | JTAFG | RV501 | AXN1B
10,Ve,object,9620,19A | M4H64A | M4H61A | M5H62A | N5H62A
11,Mk,object,80,JEEP | HONDA | FORD | CHEVROLET | CADILLAC
12,Cn,object,1266,RENEGADE | WRANGLER | WRANGLER UNLIMITED | HR-V | MUSTANG
13,Ct,object,2,M1 | M1G
14,Cr,object,2,M1 | M1G
15,r,int64,1,1
16,m (kg),float64,1276,1845.0 | 1883.0 | 1972.0 | 2348.0 | 2409.0
17,Mt,float64,2070,1925.0 | 2069.0 | 2117.0 | 2113.0 | 2519.0
18,Enedc (g/km),float64,25,44.0 | 41.0 | 46.0 | 40.0 | 38.0
19,Ewltp (g/km),int64,350,49 | 244 | 259 | 258 | 79
20,W (mm),float64,270,2570.0 | 2459.0 | 3008.0 | 2610.0 | 2720.0
21,At1 (mm),float64,230,1551.0 | 1598.0 | 1636.0 | 1535.0 | 1541.0
22,At2 (mm),float64,240,1553.0 | 1598.0 | 1636.0 | 1540.0 | 1541.0
23,Ft,object,9,petrol/electric | petrol | diesel | electric | ng
24,Fm,object,6,P | M | H | E | F
25,ec (cm3),float64,106,1332.0 | 1995.0 | 1498.0 | 999.0 | 1469.0
26,ep (KW),float64,252,96.0 | 200.0 | 79.0 | 88.0 | 110.0
27,z (Wh/km),float64,222,166.0 | 221.0 | 239.0 | 236.0 | 164.0
28,IT,object,97,e6 37 | e3 29 | e3 32 | e3 28 29 | e3 37
29,Ernedc (g/km),float64,0,
30,Erwltp (g/km),float64,180,0.8 | 0.85 | 1.35 | 0.76 | 1.79
31,De,float64,0,
32,Vf,float64,0,
33,Status,object,1,F
34,year,int64,2,2022 | 2023
35,Date of registration,object,715,2022-01-25 | 2022-02-16 | 2022-02-24 | 2022-02-28 | 2022-01-28
36,Fuel consumption,float64,164,2.0 | 10.8 | 11.5 | 3.5 | 4.1
37,ech,object,19,Euro 6 AP | AP | 6AP | AX | Euro 6 EA
38,RLFI,object,85,RL-J12ADNA9A_00000-JN1-1 | N.A. | RL-F16ADTAXA_00000-JN1-1 | RL-EQ310Z1P_21_802-WVN-1 | RL-T33ADNN9A_00000-JN1-1
39,Electric range (km),float64,587,43.0 | 44.0 | 45.0 | 46.0 | 48.0
