index,Colonne,Valeurs manquantes (%),Nombre de valeurs manquantes,Type
0,MMS,100.0,3528480,float64
1,Vf,100.0,3528480,float64
2,De,100.0,3528480,float64
3,Ernedc (g/km),100.0,3528480,float64
4,RLFI,98.21645581100077,3465548,object
5,Enedc (g/km),91.94636217294699,3244309,float64
6,Electric range (km),76.95027320545958,2715175,float64
7,z (Wh/km),76.95027320545958,2715175,float64
8,At2 (mm),53.5863884732236,1890785,float64
9,W (mm),53.55286128871355,1889602,float64
10,At1 (mm),53.55286128871355,1889602,float64
11,ech,49.21481771187594,1736535,object
12,IT,28.62178615154401,1009914,object
13,Erwltp (g/km),28.62178615154401,1009914,float64
14,ec (cm3),14.745584500974923,520295,float64
15,Fuel consumption,14.745159388745297,520280,float64
16,Mp,5.7158323130639825,201682,object
17,ep (KW),0.36355597877839746,12828,float64
18,VFN,0.00017004489185144879,6,object
19,Ve,5.66816306171496e-05,2,object
20,Mt,2.83408153085748e-05,1,float64
21,m (kg),2.83408153085748e-05,1,float64
22,Va,2.83408153085748e-05,1,object
23,T,2.83408153085748e-05,1,object
24,Tan,2.83408153085748e-05,1,object
