index,count,mean,std,min,25%,50%,75%,max
ID,3528480.0,101303745.28372501,22224072.762114417,2281.0,77509525.75,121175920.5,122058040.25,122940160.0
MMS,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r,3528480.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
m (kg),3528479.0,1433.4512646950711,300.9386671150218,570.0,1197.0,1367.0,1603.0,2965.0
Mt,3528479.0,1547.23886042683,313.8879808556821,616.0,1303.0,1481.0,1732.0,3150.0
Enedc (g/km),284171.0,9.175725179557379,15.742226784893822,0.0,0.0,0.0,27.0,49.0
Ewltp (g/km),3528480.0,99.72159031651023,51.34716217919352,0.0,96.0,120.0,132.0,572.0
W (mm),1638878.0,2634.9656881110127,131.86405248862462,1873.0,2552.0,2605.0,2680.0,3665.0
At1 (mm),1638878.0,1543.8113715602992,50.45287621971076,1220.0,1513.0,1550.0,1575.0,1776.0
At2 (mm),1637695.0,1541.500055260595,55.50987982481525,1301.0,1506.0,1542.0,1580.0,1758.0
ec (cm3),3008185.0,1399.7056979540819,383.7713971674635,658.0,1197.0,1332.0,1580.0,7993.0
ep (KW),3515652.0,97.08174529219616,47.8510333664209,28.0,69.0,88.0,110.0,1177.0
z (Wh/km),813305.0,166.0274337425689,28.166807332658475,99.0,151.0,159.0,172.0,440.0
Ernedc (g/km),0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Erwltp (g/km),2518566.0,1.5606995528407834,0.4959277968290558,0.5,1.14,1.75,1.97,2.78
De,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Vf,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
year,3528480.0,2022.5355286128872,0.49873619095986754,2022.0,2022.0,2023.0,2023.0,2023.0
Fuel consumption,3008200.0,5.115725816102653,1.4790705064864498,0.4,4.8,5.3,5.9,25.2
Electric range (km),813305.0,266.8317765168049,176.82125203296718,12.0,66.0,292.0,433.0,735.0
