index,count,unique,top,freq
Country,3528480,1,FR,3528480
VFN,3528474,3084,IP-JAA1MTPJT4A_000-VF1-1,78050
Mp,3326798,14,STELLANTIS,1050427
Mh,3528480,81,RENAULT,637662
Man,3528480,80,RENAULT SAS,637719
Tan,3528479,3636,e2*2007/46*0639*20,55694
T,3528479,448,U,391555
Va,3528479,2156,P,190019
Ve,3528478,9620,V/AMXS,37623
Mk,3528480,80,RENAULT,564592
Cn,3528480,1266,C3,144250
Ct,3528480,2,M1,3469781
Cr,3528480,2,M1,3469781
Ft,3528480,9,petrol,2005953
Fm,3528480,6,M,1784863
IT,2518566,97,e2 28 29,395137
Status,3528480,1,F,3528480
Date of registration,3528480,715,2023-09-29,22320
ech,1791945,19,Euro 6 AP,932731
RLFI,62932,85,N.A.,22867
